Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino,Novavax,Covaxin
Argentina,ARG,2020-12-29,0,2,5,0,20481,0,1,0,0,0
Argentina,ARG,2020-12-30,0,2,5,0,40583,0,1,0,0,0
Argentina,ARG,2020-12-31,0,2,5,0,43388,0,1,0,0,0
Argentina,ARG,2021-01-01,0,2,7,0,43513,0,1,0,0,0
Argentina,ARG,2021-01-02,0,2,8,0,46824,0,1,0,0,0
Argentina,ARG,2021-01-03,0,2,8,0,47266,0,1,0,0,0
Argentina,ARG,2021-01-04,0,2,8,0,57726,0,1,0,0,0
Argentina,ARG,2021-01-05,0,2,8,0,68446,0,5,0,0,0
Argentina,ARG,2021-01-06,0,2,8,0,78551,0,8,0,0,0
Argentina,ARG,2021-01-07,0,2,9,0,96771,0,8,0,0,0
Argentina,ARG,2021-01-08,0,2,9,0,124654,0,8,0,0,0
Argentina,ARG,2021-01-09,0,2,9,0,134862,0,9,0,0,0
Argentina,ARG,2021-01-10,0,2,9,0,136036,0,10,0,0,0
Argentina,ARG,2021-01-11,0,2,10,0,155858,0,11,0,0,0
Argentina,ARG,2021-01-12,0,2,10,0,175241,0,14,0,0,0
Argentina,ARG,2021-01-13,0,2,10,0,192003,0,18,0,0,0
Argentina,ARG,2021-01-14,0,2,10,0,208647,0,19,0,0,0
Argentina,ARG,2021-01-15,0,2,10,0,226084,0,19,0,0,0
Argentina,ARG,2021-01-16,0,2,10,0,231967,0,19,0,0,0
Argentina,ARG,2021-01-17,0,2,10,0,233028,0,19,0,0,0
Argentina,ARG,2021-01-18,0,2,10,0,242859,0,19,0,0,0
Argentina,ARG,2021-01-19,0,2,10,0,256105,0,20,0,0,0
Argentina,ARG,2021-01-20,0,2,10,0,275525,0,20,0,0,0
Argentina,ARG,2021-01-21,0,2,15,0,289632,0,22,0,0,0
Argentina,ARG,2021-01-22,0,2,18,0,298843,0,23,0,0,0
Argentina,ARG,2021-01-23,0,2,23,0,302782,0,23,0,0,0
Argentina,ARG,2021-01-24,0,2,24,0,303084,0,23,0,0,0
Argentina,ARG,2021-01-25,0,2,32,0,317285,0,23,0,0,0
Argentina,ARG,2021-01-26,0,2,70,0,330052,0,24,0,0,0
Argentina,ARG,2021-01-27,0,2,72,0,340153,0,24,0,0,0
Argentina,ARG,2021-01-28,0,2,72,0,356203,0,24,0,0,0
